worktree	head	branch	registration	path_state	locked	disposition
/tmp/cs-7.4b8bj	ee9ec5a8182f2f021a75a571db70644bb850ed01	codex/m7-core-code-discipline	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bk	ac9745a64ff16f9ecd00a355c707169c48cef039	codex/m7-contract-invariants	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bl	92a8b2c5f19f889b2281aeabd49ee9575b97e0c5	codex/m7-disabled-lifecycle	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bm	92406e4303519fa168816f0e9aa00d5c711e6505	codex/m7-disabled-verification	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bn	d24ada37cd1fa2cb19a38ea6ed0ac653d0e0423d	codex/m7-licensing-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bo	a8cb14dde453e8d2750c4cbc05fd0e97c93a5c04	codex/m7-language-routing	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bp	e5adb4e4d8ec8a230c2a88a0d956c96d6abf5d5a	codex/m7-typescript-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bq	00f4d6c7571cdbd232c09d40f92497de00851de8	codex/m7-frontend-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8br	eebbd81eb9928eee24def75e777e077b1766ef2c	codex/m7-performance-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bs	911164a089492690733410915b1f5fb03b491cfe	codex/m7-dependencies-consolidation	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bt	3859f739e8e0de99adf8f5d49ca7bea0ec8e794f	codex/m7-planning-consolidation	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bu	7782540f339cd821604a45fb17f3c3134b513d8a	codex/m7-verification-consolidation	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bv	c49e6fbac00f2c22c2dd679dbd770f8e657d48a6	codex/m7-testing-concurrency	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bw	417edea9081c9be3afcdcef00c5c5f2a76130aad	codex/m7-testing-language-bindings	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bx	bc7b59d74fec1e191e230268e2f00a344da183e7	codex/m7-testing-resilience	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8by	22111bb0b74781bc26b18df7393cbb8250a9e3cc	codex/m7-testing-contract-artifacts	prunable	missing	no	candidate-prune-registration
